nco_code,title
1111.01,"Elected Official, Union Government"
1111.01,
1111.0100,"Elected Official, Union Government"
1111.0100,
1111.02,"Elected Official, State Government"
1111.02,
1111.0200,
1111.0200,"Elected Official, State Government"
1111.03,"Elected Official, Local Bodies"
1111.03,
1111.0300,
1111.0300,"Elected Official, Local Bodies"
1111.99,
1111.99,"Legislators, Other"
1111.9900,
1111.9900,"Legislators, Other"
1112.01,
1112.01,"Administrative Official, Union Government"
1112.0100,
1112.0100,"Administrative Official, Union Government"
1112.02,Diplomat
1112.02,
1112.0200,
1112.0200,Diplomat
1112.03,"Executive Officials, Union Government"
1112.03,
1112.0300,
1112.0300,"Executive Officials, Union Government"
1112.04,"Administrative Official, State Government"
1112.04,
1112.0400,
1112.0400,"Administrative Official, State Government"
1112.05,
1112.05,"Executive Official, State Government"
1112.0500,"Executive Official, State Government"
1112.0500,
1112.06,"Administrative and Executive Officials, Quasi"
1112.06,
1112.0600,
1112.0600,"Administrative and Executive Officials, Quasi"
1112.07,"Administrative & Executive Off icials, Quasi"
1112.07,
1112.0700,
1112.0700,"Administrative & Executive Off icials, Quasi"
1112.08,"Administrative and Executive Officials, Local"
1112.08,
1112.0800,
1112.0800,"Administrative and Executive Officials, Local"
1112.99,
1112.99,"Senior Government Officials, Other"
1112.9900,
1112.9900,"Senior Government Officials, Other"
1114.01,
1114.01,Political Worker
1114.0100,Political Worker
1114.0100,
1114.02,
1114.02,"Senior Officials of Employers, Workers and Other"
1114.0200,"Senior Officials of Employers, Workers and Other"
1114.0200,
1114.03,"Director, Disaster Management Services"
1114.03,
1114.0300,"Director, Disaster Management Services"
1114.0300,
1114.99,"Senior Officials of Special Interest Organizations,"
1114.99,
1114.9900,
1114.9900,"Senior Officials of Special Interest Organizations,"
1120.01,"Working Proprietor, Electricity"
1120.01,
1120.0100,"Working Proprietor, Electricity"
1120.0100,
1120.02,"Working Proprietor, Gas"
1120.02,
1120.0200,
1120.0200,"Working Proprietor, Gas"
1120.03,
1120.03,"Working Proprietor, Water Supply"
1120.0300,
1120.0300,"Working Proprietor, Water Supply"
1120.04,
1120.04,"Director, Electricity"
1120.0400,
1120.0400,"Director, Electricity"
1120.05,"Director, Gas"
1120.05,
1120.0500,"Director, Gas"
1120.0500,
1120.06,
1120.06,"Director, Water Supply"
1120.0600,"Director, Water Supply"
1120.0600,
1120.07,
1120.07,"Director, Bank"
1120.0700,
1120.0700,"Director, Bank"
1120.08,"Director, Insurance"
1120.08,
1120.0800,
1120.0800,"Director, Insurance"
1120.09,"Working Proprietor, Mines/Proprietor, Mines"
1120.09,
1120.0900,"Working Proprietor, Mines/Proprietor, Mines"
1120.0900,
1120.1,"Working Proprietor, Quarry/Proprietor, Quarry"
1120.1,
1120.1000,
1120.1000,"Working Proprietor, Quarry/Proprietor, Quarry"
1120.11,"Working Proprietor, Well Drilling/Proprietor,"
1120.11,
1120.1100,"Working Proprietor, Well Drilling/Proprietor,"
1120.1100,
1120.12,
1120.12,"Working Proprietor, Construction/Proprietor,"
1120.1200,"Working Proprietor, Construction/Proprietor,"
1120.1200,
1120.13,"Director, Construction"
1120.13,
1120.1300,"Director, Construction"
1120.1300,
1120.14,"Director, Mines"
1120.14,
1120.1400,"Director, Mines"
1120.1400,
1120.15,
1120.15,"Director, Quarry"
1120.1500,"Director, Quarry"
1120.1500,
1120.16,"Director, Well Drilling"
1120.16,
1120.1600,"Director, Well Drilling"
1120.1600,
1120.17,"Working Proprietor, Manufacturing/Proprietor,"
1120.17,
1120.1700,
1120.1700,"Working Proprietor, Manufacturing/Proprietor,"
1120.18,Director Manufacturing
1120.18,
1120.1800,
1120.1800,Director Manufacturing
1120.19,
1120.19,"Working Proprietor, Wholesale Trade/Proprietor,"
1120.1900,"Working Proprietor, Wholesale Trade/Proprietor,"
1120.1900,
1120.2,
1120.2,"Working Proprietor, Retail Trade/Proprietor,"
1120.2000,"Working Proprietor, Retail Trade/Proprietor,"
1120.2000,
1120.21,
1120.21,"Director, Wholesale Trade"
1120.2100,"Director, Wholesale Trade"
1120.2100,
1120.22,"Director, Retail Trade"
1120.22,
1120.2200,"Director, Retail Trade"
1120.2200,
1120.23,"Working Proprietor, Transport"
1120.23,
1120.2300,"Working Proprietor, Transport"
1120.2300,
1120.24,"Director, Transport"
1120.24,
1120.2400,"Director, Transport"
1120.2400,
1120.25,
1120.25,"Director, Communication"
1120.2500,"Director, Communication"
1120.2500,
1120.26,
1120.26,"Director, Airport"
1120.2600,
1120.2600,"Director, Airport"
1120.27,
1120.27,"Working Proprietor, Storage and Warehousing"
1120.2700,
1120.2700,"Working Proprietor, Storage and Warehousing"
1120.28,"Director, Storage and Warehousing"
1120.28,
1120.2800,"Director, Storage and Warehousing"
1120.2800,
1120.29,"Working Proprietor, Lodging and Catering"
1120.29,
1120.2900,"Working Proprietor, Lodging and Catering"
1120.2900,
1120.3,
1120.3,"Director, Lodging and Catering Services/Director"
1120.3000,"Director, Lodging and Catering Services/Director"
1120.3000,
1120.31,
1120.31,Executive Chef
1120.3100,Executive Chef
1120.3100,
1120.32,"Working Proprietor, Recreation and"
1120.32,
1120.3200,"Working Proprietor, Recreation and"
1120.3200,
1120.33,
1120.33,"Director, Recreation and Entertainment"
1120.3300,
1120.3300,"Director, Recreation and Entertainment"
1120.34,
1120.34,"Station Director, Radio/TV"
1120.3400,
1120.3400,"Station Director, Radio/TV"
1120.3401,Account Executive
1120.3401,Account Director ( Advertising Agency)
1120.3402,Sales Executive –
1120.3402,Sales Director (Media Org)
1120.35,"Working Proprietor, Other Services"
1120.35,
1120.3500,"Working Proprietor, Other Services"
1120.3500,
1120.36,
1120.36,"Director, Other Services"
1120.3600,
1120.3600,"Director, Other Services"
1120.37,"Director, Museum/Zoo"
1120.37,
1120.3700,"Director, Museum/Zoo"
1120.3700,
1120.38,Chief Librarian
1120.38,
1120.3800,Chief Librarian
1120.3800,
1120.39,"Principal, College"
1120.39,
1120.3900,
1120.3900,"Principal, College"
1120.99,"Managing Directors and Chief Executives, Others"
1120.99,
1120.9900,
1120.9900,"Managing Directors and Chief Executives, Others"
1211.01,"General Manager, Bank"
1211.01,
1211.0100,
1211.0100,"General Manager, Bank"
1211.02,"General Manager, Insurance"
1211.02,
1211.0200,"General Manager, Insurance"
1211.0200,
1211.03,"Purser, Ship"
1211.03,
1211.0300,
1211.0300,"Purser, Ship"
1211.99,"Finance Managers, Others"
1211.99,Finance and Administration
1211.99,
1211.9900,
1211.9900,Finance and Administration
1211.9900,"Finance Managers, Others"
1212.01,
1212.01,Personnel Manager
1212.01,Perso nnel Manager
1212.0100,
1212.0100,Perso nnel Manager
1212.0100,Personnel Manager
1212.99,"Personnel and Industrial Relations Managers,"
1212.99,Personnel and Industrial Relations
1212.99,
1212.9900,"Personnel and Industrial Relations Managers,"
1212.9900,
1212.9900,Personnel and Industrial Relations
1213.01,
1213.01,"Manager, Automotive Service"
1213.0100,"Manager, Automotive Service"
1213.0100,
1213.0101,Quality Assurance Standards In -Charge
1213.0101,
1213.0101,Quality Assurance Standards In
1213.0101,
1213.0102,Manager – Customer Quality
1213.0102,Manager -Customer Quality
1213.0102,Manager –
1213.02,
1213.02,"Manager, Automotive Service Station"
1213.02,"Manager, Automotive Service"
1213.0200,"Manager, Automotive Service Station"
1213.0200,"Manager, Automotive Service"
1213.0200,
1213.0201,Armature Winder
1213.0201,Area Service Manager
1213.0202,Test and Repair
1213.0202,Territory Service Manager
1213.99,
1213.99,"Managers, Other Services"
1213.9900,
1213.9900,"Managers, Other Services"
1219.01,
1219.01,"Manager, Import and Export"
1219.0100,"Manager, Import and Export"
1219.0100,
1219.0101,Extra
1219.0101,Export Manager
1219.02,"Manager, Health Club/Manager, Fitness"
1219.02,"Manager, Health Club /Manager,"
1219.02,
1219.0200,"Manager, Health Club /Manager,"
1219.0200,"Manager, Health Club/Manager, Fitness"
1219.0200,
1221.01,Sales Manager (Wholesale Trade)
1221.01,
1221.0100,
1221.0100,Sales Manager (Wholesale Trade)
1221.02,
1221.02,Sales Manager (Retail Trade)
1221.0200,
1221.0200,Sales Manager (Retail Trade)
1221.0301,Home Delivery Manager
1221.0301,Home
1221.0401,Occupational
1221.0401,Territory Sales Manager (Broadband)
1221.0401,Territory Sales Manager
1221.0501,Territory Sales Manager (Prepaid)
1221.0501,Territory Sales
1221.0601,Sales Co-ordinator  (Media Org)
1221.0601,Sales Co -Ordinator (Media Org)
1221.0601,Sales
1221.0602,Sales Manager (Media Org)
1221.0602,Sales Manager
1221.99,"Sales and Marketing Managers, Other"
1221.99,
1221.99,"Sales and Marketing Managers,"
1221.9900,"Sales and Marketing Managers,"
1221.9900,"Sales and Marketing Managers, Other"
1221.9900,
1222.01,"Manager, Advertising and"
1222.01,
1222.01,"Manager, Advertising and Promotion"
1222.0100,"Manager, Advertising and"
1222.0100,"Manager, Advertising and Promotion"
1222.0100,
1222.0102,Advertising Sales
1222.0102,Advertising Operations Co-
1222.0102,Advertising Operations Co -Ordinator (Digital)
1222.02,
1222.02,"Manager, Fashion/Fashion"
1222.02,"Manager, Fashion/Fashion Manager"
1222.0200,"Manager, Fashion/Fashion"
1222.0200,
1222.0200,"Manager, Fashion/Fashion Manager"
1222.99,
1222.99,Advertising and Public Relations Department
1222.99,Advertising and Public Relations
1222.9900,
1222.9900,Advertising and Public Relations Department
1222.9900,Advertising and Public Relations
1223.0101,Manager Vendor
1223.0101,Manager Testing Facility
1223.0102,Manager Material Testing
1223.0102,Manager Stores
1223.0201,Research Associate
1223.0201,"Reservation Clerk,"
1311.01,"General Manager, Plantation"
1311.01,
1311.01,"General Manager, Plantation  General Manager, Plantation manages"
1311.0100,"General Manager, Plantation  General Manager, Plantation manages"
1311.0100,
1311.0100,"General Manager, Plantation"
1311.02,"General Manager, Horticulture"
1311.02,
1311.0200,
1311.0200,"General Manager, Horticulture"
1311.03,"General Manager, Agricultural Farm"
1311.03,"General Manager, Agricultural"
1311.03,
1311.0300,"General Manager, Agricultural Farm"
1311.0300,"General Manager, Agricultural"
1311.0300,
1311.04,
1311.04,"General Manager, Livestock Farm"
1311.0400,"General Manager, Livestock Farm"
1311.0400,
1311.05,"Gene ral Manager, Dairy Farm"
1311.05,
1311.05,"General Manager, Dairy Farm"
1311.0500,"Gene ral Manager, Dairy Farm"
